subject,label,peakGyro,ratio,durationCount,gySigned,gzSigned,peakAccel,accelMean,accelStd,spikeCount,classified
A,FLICK,844.7,1.491,17,210.1,844.7,2.284,1.569,0.256,9,FLICK
A,FLICK,1059.4,2.894,17,1059.4,172.5,1.928,1.457,0.235,11,FLICK
A,FLICK,1055.5,4.940,26,-110.1,1055.5,2.169,1.389,0.235,14,FLICK
A,FLICK,1283.7,1.877,28,59.8,-624.1,2.329,1.497,0.369,11,FLICK
A,FLICK,1173.0,1.893,21,-255.8,1173.0,2.388,1.445,0.344,13,FLICK
A,FLICK,1069.4,3.085,27,190.6,1069.4,2.374,1.402,0.326,8,FLICK
A,FLICK,841.9,7.643,13,841.9,57.5,2.263,1.559,0.246,8,FLICK
A,FLICK,1301.6,1.552,27,369.5,1301.6,2.490,1.414,0.316,12,FLICK
A,FLICK,1271.4,1.652,19,-620.8,148.7,2.369,1.561,0.343,10,FLICK
A,FLICK,1151.3,1.943,19,1151.3,468.7,2.242,1.598,0.316,9,FLICK
B,TWIST,691.0,1.443,44,281.0,197.7,2.002,1.334,0.288,14,TWIST
B,TWIST,662.2,1.534,53,221.3,-210.4,1.796,1.283,0.232,15,TWIST
B,TWIST,757.9,1.078,35,-412.5,-290.4,2.010,1.300,0.257,8,TWIST
B,TWIST,626.1,1.665,27,626.1,-138.1,2.042,1.294,0.247,10,TWIST
B,TWIST,695.8,1.037,51,695.8,-254.9,1.932,1.304,0.167,13,TWIST
B,TWIST,778.3,0.912,29,-489.4,-364.0,1.856,1.302,0.234,11,TWIST
B,TWIST,862.2,1.060,35,862.2,-402.5,1.865,1.295,0.267,11,TWIST
B,TWIST,701.3,0.781,47,531.0,367.4,2.082,1.300,0.260,10,TWIST
B,TWIST,693.2,1.567,36,-208.6,-233.7,2.153,1.369,0.231,10,TWIST
B,TWIST,685.0,1.613,31,214.6,-210.1,1.784,1.310,0.207,14,TWIST
B,TWIST,630.9,1.735,35,-140.9,-222.7,1.881,1.280,0.186,10,TWIST
B,TWIST,784.4,1.058,39,784.4,-395.5,2.254,1.333,0.248,5,TWIST
B,TWIST,673.3,1.744,37,-168.8,673.3,2.337,1.284,0.268,6,TWIST
B,TWIST,915.9,1.875,21,915.9,88.4,2.100,1.286,0.275,19,FLICK
B,TWIST,676.0,0.916,31,385.8,-352.2,2.236,1.318,0.262,10,TWIST
B,TWIST,736.4,1.037,33,430.4,-279.8,1.678,1.287,0.152,9,TWIST
B,TWIST,657.3,1.819,33,275.1,-86.3,2.253,1.255,0.256,3,TWIST
B,TWIST,665.2,1.695,25,665.2,-182.8,2.214,1.267,0.327,9,TWIST
B,TWIST,700.3,1.046,50,-344.5,700.3,2.098,1.330,0.200,12,TWIST
B,TWIST,458.5,7.907,11,29.0,458.5,2.082,1.377,0.365,10,PINCH
B,TWIST,760.7,0.858,46,-378.8,-508.1,1.831,1.326,0.197,9,TWIST
B,TWIST,664.3,1.383,57,-177.2,664.3,2.056,1.307,0.232,4,TWIST
B,PINCH,437.0,2.765,9,117.6,437.0,2.424,1.337,0.331,10,PINCH
B,PINCH,443.3,0.990,9,-134.5,313.3,2.247,1.437,0.330,17,PINCH
B,PINCH,422.5,1.391,13,-64.8,-238.9,2.141,1.269,0.279,12,PINCH
B,PINCH,440.4,1.396,13,-278.7,440.4,2.224,1.360,0.351,11,PINCH
B,PINCH,385.7,1.424,22,385.7,-14.0,2.453,1.405,0.373,8,NONE
B,PINCH,1265.8,4.037,20,167.7,1265.8,2.404,1.528,0.332,13,FLICK
B,PINCH,309.9,0.952,10,309.9,116.5,3.580,1.607,0.532,8,PINCH
B,PINCH,402.9,7.108,13,20.1,402.9,2.248,1.464,0.350,14,PINCH
B,PINCH,804.6,3.749,19,197.8,804.6,2.537,1.473,0.346,7,FLICK
B,PINCH,667.7,1.788,36,667.7,-202.2,1.839,1.242,0.220,11,TWIST
B,PINCH,480.0,2.764,17,-19.9,480.0,2.270,1.446,0.300,16,PINCH
B,PINCH,375.5,0.806,22,375.5,-237.8,2.188,1.425,0.316,6,NONE
B,PINCH,335.2,0.862,17,172.4,216.5,2.246,1.539,0.283,13,PINCH
B,PINCH,358.3,1.490,6,-130.5,-109.9,2.155,1.485,0.294,8,PINCH
B,PINCH,330.9,1.662,9,330.9,128.2,2.046,1.449,0.260,16,PINCH
B,PINCH,405.3,1.339,11,55.6,247.2,2.635,1.553,0.405,10,PINCH
B,PINCH,316.6,1.294,15,-226.6,-18.2,2.197,1.493,0.324,14,PINCH
B,PINCH,740.7,0.982,32,-315.3,-438.9,1.928,1.254,0.194,7,TWIST
B,PINCH,386.5,0.797,13,-259.3,386.5,2.502,1.461,0.261,16,PINCH
B,PINCH,313.5,2.065,7,-65.1,313.5,2.387,1.547,0.287,11,PINCH
B,PINCH,455.2,0.865,8,455.2,-288.9,1.784,1.332,0.248,13,PINCH
B,PINCH,289.2,1.288,9,289.2,51.3,2.011,1.331,0.288,13,PINCH
B,PINCH,767.2,0.982,37,767.2,-277.5,1.679,1.247,0.201,12,TWIST
B,PINCH,433.8,1.848,15,131.5,103.3,2.338,1.436,0.355,11,PINCH
B,PINCH,339.9,1.071,19,83.0,234.3,2.184,1.299,0.327,9,NONE
B,PINCH,345.3,1.619,6,345.3,-19.1,2.839,1.600,0.425,13,PINCH
B,PINCH,395.1,0.794,17,395.1,263.1,2.393,1.510,0.340,12,PINCH
B,PINCH,129.9,1.387,0,78.3,129.9,2.425,1.337,0.336,4,NONE
B,PINCH,385.9,3.986,18,71.9,385.9,2.066,1.417,0.232,17,PINCH
B,PINCH,483.0,0.819,17,-251.4,338.0,2.976,1.580,0.425,14,PINCH
B,PINCH,1238.1,2.092,15,-287.6,-304.2,2.410,1.409,0.393,13,FLICK
B,PINCH,368.2,2.187,9,-50.6,117.8,2.647,1.629,0.366,10,PINCH
B,PINCH,459.7,0.916,17,459.7,203.4,2.662,1.695,0.365,10,PINCH
B,PINCH,339.6,2.928,8,-55.6,339.6,2.249,1.585,0.280,7,PINCH
B,PINCH,445.5,0.898,11,-160.7,335.7,2.367,1.638,0.304,10,PINCH
B,PINCH,118.1,2.243,0,-28.8,23.9,1.700,1.048,0.103,1,NONE
B,PINCH,387.5,0.994,11,238.7,-151.2,1.893,1.390,0.215,13,PINCH
B,PINCH,540.0,1.019,17,238.6,-291.1,2.196,1.353,0.361,14,PINCH
