subject,label,peakGyro,ratio,durationCount,gySigned,gzSigned,peakAccel,accelMean,accelStd,spikeCount,classified
C,FLICK,941.3,2.915,15,941.3,-147.3,1.764,1.200,0.263,5,FLICK
C,FLICK,759.9,4.069,17,759.9,-87.3,1.748,1.156,0.224,4,FLICK
C,FLICK,1058.7,3.151,13,1058.7,-141.0,2.014,1.236,0.300,4,FLICK
C,FLICK,1031.0,3.952,17,1031.0,-126.3,1.867,1.199,0.261,3,FLICK
C,FLICK,1385.6,1.953,18,1385.6,449.7,3.596,1.415,0.601,3,FLICK
C,FLICK,1010.1,2.165,19,1010.1,-256.8,2.054,1.247,0.345,5,FLICK
C,FLICK,1225.4,2.764,17,1225.4,274.7,2.567,1.377,0.442,5,FLICK
C,FLICK,1209.7,1.950,23,1209.7,315.4,2.665,1.425,0.489,5,FLICK
C,FLICK,1167.6,1.564,18,1167.6,-402.6,2.727,1.411,0.495,4,FLICK
C,FLICK,995.7,2.242,15,995.7,-179.3,1.940,1.249,0.324,4,FLICK
C,FLICK,1217.1,1.805,19,1217.1,377.6,2.835,1.424,0.536,4,FLICK
C,FLICK,1192.9,1.756,17,1192.9,401.6,3.038,1.388,0.515,4,FLICK
C,FLICK,1000.4,1.658,18,1000.4,-302.7,2.469,1.318,0.441,4,FLICK
C,FLICK,1117.1,1.770,18,1117.1,340.4,2.822,1.358,0.471,4,FLICK
C,FLICK,1217.4,1.855,16,1217.4,428.4,3.324,1.370,0.511,3,FLICK
C,FLICK,1233.8,1.967,15,1233.8,329.5,2.795,1.294,0.458,5,FLICK
C,FLICK,1086.6,1.779,14,1086.6,340.8,2.819,1.327,0.466,4,FLICK
C,FLICK,1273.2,1.591,14,1273.2,457.0,3.216,1.423,0.639,3,FLICK
C,FLICK,1151.3,1.714,35,1151.3,336.3,2.853,1.313,0.605,4,FLICK
C,FLICK,1434.1,1.258,17,1434.1,673.3,3.745,1.599,0.750,4,FLICK
C,FLICK,1158.8,2.183,24,1158.8,-386.8,3.082,1.352,0.520,5,FLICK
C,FLICK,1415.6,1.700,17,1415.6,523.8,5.096,1.508,0.805,3,FLICK
C,FLICK,1187.7,2.078,17,1187.7,-351.7,2.700,1.405,0.487,4,FLICK
C,FLICK,1219.1,1.761,14,1219.1,394.1,3.148,1.390,0.502,3,FLICK
C,FLICK,1127.1,2.948,13,1127.1,264.8,2.959,1.311,0.458,4,FLICK
C,FLICK,710.0,4.928,11,710.0,101.6,1.868,1.149,0.227,4,FLICK
B,FLICK,987.1,3.290,23,987.1,-187.3,2.637,1.193,0.468,4,FLICK
B,FLICK,1057.9,2.686,27,-1057.9,-201.3,2.577,1.152,0.447,4,FLICK
B,FLICK,990.7,2.436,15,990.7,-208.3,2.583,1.215,0.402,2,FLICK
B,FLICK,1435.1,2.705,20,-1435.1,-222.0,3.463,1.246,0.628,2,FLICK
B,FLICK,1481.4,2.508,19,-1481.4,-269.8,4.099,1.344,0.800,3,FLICK
B,FLICK,1785.5,2.871,23,-1785.5,347.3,4.439,1.412,0.950,1,FLICK
B,FLICK,1378.2,2.200,18,-1378.2,-354.7,4.063,1.289,0.775,3,FLICK
B,FLICK,481.3,1.931,10,481.3,-116.4,3.268,1.093,0.443,1,PINCH
B,FLICK,1220.4,3.166,21,-1220.4,199.2,4.066,1.204,0.747,2,FLICK
